eval_level,gradient_boosting,logistic_regression,random_forest
0,27.75,51.05,24.866666666666667
1,33.016666666666666,31.833333333333332,26.166666666666668
2,21.716666666666665,32.81666666666667,30.483333333333334
3,25.733333333333334,26.683333333333334,20.85
4,28.483333333333334,31.7,25.916666666666668
