method,feature_extractor,train_level,eval_level,score_mean,score_median,score_std,games_played,win_rate,avg_steps,steps_std
gradient_boosting_enhanced,extract_enhanced_features,0,0,43.63333333333333,50.0,15.692043521640432,30,0.0,819.3,768.0387988583155
gradient_boosting_enhanced,extract_enhanced_features,1,1,40.36666666666667,42.5,13.010561580642019,30,0.0,942.1666666666666,773.7090731567373
gradient_boosting_enhanced,extract_enhanced_features,2,2,51.4,54.0,8.327768256737878,30,0.43333333333333335,1377.1666666666667,695.1380951036764
gradient_boosting_enhanced,extract_enhanced_features,3,3,36.0,36.5,8.4527081969076,30,0.0,1447.5666666666666,821.2663763478572
gradient_boosting_enhanced,extract_enhanced_features,4,4,40.833333333333336,45.5,15.472073470329192,30,0.03333333333333333,1197.1666666666667,1018.0176166531168
gradient_boosting_enhanced,extract_enhanced_features,all,0,38.4,40.5,14.240786495134321,30,0.03333333333333333,1012.9333333333333,846.5300749625449
gradient_boosting_enhanced,extract_enhanced_features,all,1,37.86666666666667,37.5,12.32528473010506,30,0.0,710.3,717.8591327570882
gradient_boosting_enhanced,extract_enhanced_features,all,2,33.166666666666664,32.0,13.916210674613616,30,0.1,769.9,757.0533325175064
gradient_boosting_enhanced,extract_enhanced_features,all,3,22.066666666666666,25.0,14.462635171086701,30,0.03333333333333333,1033.3,960.10628542383
gradient_boosting_enhanced,extract_enhanced_features,all,4,26.233333333333334,25.0,11.257743184546154,30,0.0,659.5666666666667,679.6680063461681
